"","country","year","v2csantimv","v2svstterr","v2svinlaut","v2clrgunev","e_Fiscal_Reliance","e_Civil_War","e_miinterc","v2csanmvch_9","v2clsocgrp","v2pepwrsoc","inflation","inflationm1","inflationm2","inflationm3","inflatavg","debt","debtm1","debtm2","debtm3","debtavg","ctrySize","popDensity","national","trust1","trust2"
"61","Georgia",2009,0.747225580683497,78.875,1.4338050366066,0.719416170844549,NA,NA,NA,0.1,0.858242251376588,1.36580074825322,1.727514611,9.999415709,9.244956705,9.161060064,9.46847749266667,8.672797,7.721514,2.986951,2.573388,4.42728433333333,264.007575648882,69.5965569124182,1.24866666666667,1.73066666666667,2.124
"62","Georgia",2014,0.172831334422976,80.1666666666667,1.66608792825327,0.680765091720633,NA,NA,NA,0.111111111111111,1.28064700559993,1.27212850459665,3.068812104,-0.512058411,-0.943658853,8.542933333,2.36240535633333,14.03507,13.467329,12.398446,11.360381,12.4087186666667,264.007575648882,65.2052206165366,1.26955074875208,1.88935108153078,2.45008319467554
"63","Germany",1997,-1.84499732507783,89.0909090909091,1.65676883675884,2.62033576988097,NA,0,0,0,1.92321260771505,2.30968343356742,1.880192392,1.446061036,1.723671149,2.744552619,1.971428268,NA,NA,NA,NA,NA,597.519874146459,235.022979515829,1.77541954590326,1.57502467917078,NA
"64","Germany",2006,-1.84499732507783,89.0909090909091,1.81713992316245,2.62033576988097,NA,0,NA,0,3.17372676101006,2.30968343356742,1.577429241,1.546910755,1.665736088,1.034223392,1.41562341166667,NA,NA,NA,NA,NA,597.578446733147,236.225197866483,1.85125968992248,1.4297480620155,2.1952519379845
"65","Germany",2013,-1.20306241045438,89.0909090909091,1.69214423565362,2.40584741504422,NA,NA,NA,0,2.87605502240984,2.45297880266457,1.504722267,2.008491182,2.075172931,1.103808561,1.729157558,NA,NA,NA,NA,NA,597.779223459631,231.155712565925,1.56793743890518,1.52785923753666,2.18866080156403
"66","Ghana",2007,-1.27970255764065,98,1.66928311720922,1.06138524199693,NA,NA,NA,0,1.8125119073033,1.74732176263047,10.73272807,10.91516997,15.11818572,12.62457406,12.8859765833333,5.041282,3.697633,7.334163,7.239724,6.09050666666667,488.405569173817,99.7636107937066,1.07757496740548,1.89895697522816,1.61929595827901
"67","Ghana",2012,-0.804960514461777,98,1.66928311720922,0.765411503703677,NA,NA,NA,0,1.88985191144709,1.64437477646506,9.160778311,8.726836831,10.70756812,19.25071443,12.8950397936667,12.837232,11.224506,9.114078,7.385,9.24119466666667,488.405569173817,113.092418915356,1.05412371134021,1.95038659793814,1.46134020618557
"68","Guatemala",2004,-0.928592707697994,84.2,1.56796161100052,-1.43423670422024,NA,0,NA,0.4,-1.62847603319598,-1.01634937035352,7.578622473,5.603476754,8.132630543,7.285873666,7.00732698766667,8.094354,5.157578,4.527094,4.381822,4.68883133333333,329.984848137002,119.418859649123,1.163,1.829,NA
"69","Hungary",1982,-0.163217065180892,99.1666666666667,-0.730746872548592,1.79303279572025,NA,0,0,0,0.347729084503104,1.22062068442478,7.015803942,4.511278195,9.285857439,8.976412347,7.59118266033333,NA,NA,NA,NA,NA,305.008196611173,119.095950606297,1.26502732240437,1.52663934426229,NA
"70","Hungary",1998,-0.901866526139698,100,1.73931617399125,2.52419651024313,NA,0,0,0,1.09060471168393,1.46260075609545,14.17506692,18.31412978,23.42814371,28.30287036,23.3483812833333,NA,NA,NA,NA,NA,305.008196611173,114.32706013363,1.55846153846154,1.73846153846154,NA
"71","Hungary",2009,0.146746963698567,100,1.35380833859777,2.52419651024313,NA,NA,NA,0,1.09060471168393,1.46260075609545,4.209189843,6.066157153,7.935008875,3.878312373,5.95982613366667,NA,NA,NA,NA,NA,305.008196611173,110.710814094775,1.67130089374379,1.65640516385303,2.48361469712016
"72","India",1990,0.259234987632358,93.6,2.21913042253401,-1.01403922890141,NA,1,1,0.2,0.137747424247017,1.63456447739636,8.971233545,3.26256011,9.384775808,8.798689021,7.14867497966667,83.47151,73.721054,59.288512,53.424898,62.1448213333333,1813.08025194695,292.659897282044,1.2944,1.5028,NA
"73","India",1995,0.259234987632358,93.6,2.21913042253401,-1.01403922890141,NA,0,1,0.2,0.137747424247017,1.63456447739636,10.22488756,10.21150033,6.362038664,11.78781925,9.45378608133333,93.808992,97.898637,91.330322,87.775433,92.3347973333333,1813.08025194695,323.047903093983,1.27794117647059,1.27303921568627,NA
"74","India",2001,0.305777987797854,94.0833333333333,2.21913042253401,-1.01403922890141,NA,1,NA,0.2,0.137747424247017,1.2630457440021,3.684807256,4.009433962,4.669821024,13.2308409,7.30336529533333,99.500089,101.13148,99.779503,98.333658,99.7482136666667,1813.08025194695,360.379879859679,1.25274725274725,1.45554445554446,NA
"75","India",2006,0.305777987797854,94.0833333333333,2.21913042253401,-1.01403922890141,NA,0,NA,0.4,0.137747424247017,1.2630457440021,6.145522388,4.246353323,3.76723848,3.805865922,3.93981924166667,159.525523,121.195475,123.644482,118.884623,121.241526666667,1813.08025194695,390.818521184317,1.18340829585207,1.45877061469265,1.15242378810595
"76","India",2014,0.600417068106927,94.3,2.21913042253401,-0.913880949470768,NA,NA,NA,0.4,0.606745065328476,0.768811040856438,6.649500151,10.90764331,9.312445605,8.857845297,9.69264473733333,457.552597,427.296379,392.625128,334.399295,384.773600666667,1813.07997617314,435.175449264931,1.36685641998735,1.58697027197976,1.74130297280202
"77","Indonesia",2001,0.007810039962298,93,1.85297458413466,-1.80878009079837,36.12818,0,NA,0.4,0.673553929350732,0.807492977624969,11.50209251,3.720024005,20.48911753,58.38708718,27.5320762383333,132.693891,144.031659,151.788588,151.466804,149.095683666667,1382.36391735317,118.409171050525,1.577,1.198,NA
"78","Indonesia",2006,0.122633017807344,94.3333333333333,1.85297458413466,-0.803653966988751,25.83949,0,NA,0.5,0.673553929350732,0.807492977624969,13.10941528,10.45195661,6.243520926,6.585719187,7.76039890766667,135.959423,142.120094,138.028986,134.358681,138.169253666667,1382.36391735317,126.87238251903,1.59057071960298,1.04714640198511,1.63523573200993
"79","Iraq",2004,1.03295124183112,67.6,-1.43232538021379,-0.837177225974328,NA,0,NA,0.142857142857143,-0.810010431199838,0.650968772569935,26.96190682,33.6162106,19.3166946,16.3740815,23.1023289,NA,NA,NA,NA,NA,662.057399324258,60.170128266685,1.25763440860215,1.43483870967742,NA
"80","Iraq",2006,1.4133502941529,61,-0.947694823580126,-0.837177225974328,NA,0,NA,0.111111111111111,-0.810010431199838,0.650968772569935,53.23096291,36.95948092,26.96190682,33.6162106,32.51253278,NA,NA,NA,NA,NA,662.057399324258,63.3283307039806,1.16290262865605,1.43835616438356,NA
"81","Iraq",2012,1.24920038636511,64.7142857142857,-0.144318089072192,-1.08473959444773,NA,NA,NA,0.181818181818182,-0.810010431199838,0.61223979143673,6.089096416,5.801455371,2.877747253,6.873615472,5.18427269866667,NA,NA,NA,NA,NA,659.583201726666,75.4664095597716,1.54166666666667,1.515,2.21333333333333
"82","Israel",2001,0.0912232835707836,99.8888888888889,1.09547862377631,0.636563805635983,NA,0,NA,0,-0.243451541830184,0.933439738503132,1.115838947,1.124841572,5.194455279,5.434843012,3.918046621,NA,NA,NA,NA,NA,148.559752288431,297.550831792976,1.60800667222686,1.68640533778148,NA
"83","Italy",2005,-1.03113801653623,93.7777777777778,1.73336598601971,1.8147234212934,NA,0,NA,0.25,2.93908477149075,2.10404396211084,1.999065857,2.21522009,2.676470588,2.461074837,2.45092183833333,NA,NA,NA,NA,NA,548.944441633213,197.081267423676,1.64624505928854,1.52272727272727,2.1600790513834
"84","Japan",1981,-2.23310174975845,99.2727272727273,1.35190780174399,1.62226377072316,NA,0,0,0,1.49983888825891,1.9495756085268,4.913606911,7.812318081,3.694313654,4.214896829,5.24050952133333,NA,NA,NA,NA,NA,614.654374425172,321.091703056769,1.78654485049834,1.27242524916944,NA
