"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"74",74,"Australia Canada","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"75",75,"Australia Chile","base treaty",1,1,1,1,1,1,1,7,1.94833402660739
"77",77,"Australia New Zealand (ANZCERTA)","base treaty",1,1,0,0,1,0,0,3,-0.535274955106723
"78a",77,"Australia New Zealand (ANZCERTA) Protocol on services","consolidated",1,1,0,1,1,0,0,4,0.49490967401689
"79",79,"Australia New Zealand Free Trade Agreement","base treaty",1,0,0,0,0,0,0,1,-0.370565920730577
"80",80,"Australia Papua New Guinea","base treaty",1,0,0,0,0,0,0,1,-0.370565920730564
"81",81,"Australia Papua New Guinea","base treaty",1,0,0,0,0,0,0,1,-0.535274954869369
"82",82,"Australia Singapore","base treaty",1,1,1,1,1,1,1,7,1.69864976311202
"83",83,"Australia Thailand","base treaty",1,1,1,1,0,1,0,5,1.42941883671838
"84",84,"Australia US","base treaty",1,1,1,1,1,1,1,7,2.01936534447256
"85",85,"Austria EC","base treaty",1,1,0,0,0,0,0,2,-0.370565920730577
"86",86,"Azerbaijan Georgia","base treaty",1,0,0,0,0,0,0,1,-0.53527495491679
"92",92,"Azerbaijan Ukraine","base treaty",1,1,0,0,0,0,0,2,-0.53527495491679
"94",94,"Bahrain Jordan","base treaty",1,0,0,0,0,0,0,1,-0.231064099541268
"96",96,"Bahrain US","base treaty",1,1,1,1,1,0,1,6,1.88139165642789
"97",97,"Baltic Free Trade Area (BAFTA) agriculture","base treaty",0,1,0,0,0,0,0,1,-0.738651317663838
"98",98,"Baltic Free Trade Area (BAFTA) industrial","base treaty",1,1,0,0,0,0,0,2,-0.000736132187408954
"99",99,"Baltic Free Trade Area (BAFTA) Non Tariff Barriers","base treaty",0,1,0,0,0,0,0,1,-0.231064099541316
"100",100,"Bangkok Agreement","base treaty",0,1,0,0,0,0,0,1,-1.43010338995022
"109",109,"Belarus Russia (Union State)","base treaty",1,0,0,0,0,0,0,1,-0.370565920730568
"112",112,"Belarus Serbia","base treaty",1,1,0,0,0,0,0,2,0.188140672867876
"114",114,"Belarus Ukraine","base treaty",1,0,0,0,0,0,0,1,-0.738651317663844
"115",115,"Belize Guatemala","base treaty",0,1,1,0,0,0,0,2,0.80499985625305
"116",116,"Bhutan India","base treaty",1,0,0,0,0,0,0,1,-1.43010338995022
"117",117,"Bhutan India","base treaty",1,0,0,0,0,0,0,1,-1.43010338995022
